spectra,site,site_name,state,plot,species,height,age,height_age,measurement_type,measurement,sample_name,sample_year,sample_type,instrumentation,calibration,wavelengths,column_units,project,pi,affiliation
AK01_ACRU_B_LC_REFL,AK,Adirondacks,New York,AK01,ACRU,B,NA,B,LC,REFL,AK01_ACRU_B,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_ACRU_M_LC_REFL,AK,Adirondacks,New York,AK01,ACRU,M,NA,M,LC,REFL,AK01_ACRU_M,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_ACRU_T_LC_REFL,AK,Adirondacks,New York,AK01,ACRU,T,NA,T,LC,REFL,AK01_ACRU_T,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_PIRE_MN_LC_REFL,AK,Adirondacks,New York,AK01,PIRE,M,N,MN,LC,REFL,AK01_PIRE_MN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_PIRE_MO_LC_REFL,AK,Adirondacks,New York,AK01,PIRE,M,O,MO,LC,REFL,AK01_PIRE_MO,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_PIRE_TN_LC_REFL,AK,Adirondacks,New York,AK01,PIRE,T,N,TN,LC,REFL,AK01_PIRE_TN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_PIRE_TO_LC_REFL,AK,Adirondacks,New York,AK01,PIRE,T,O,TO,LC,REFL,AK01_PIRE_TO,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_PIST_MN_LC_REFL,AK,Adirondacks,New York,AK01,PIST,M,N,MN,LC,REFL,AK01_PIST_MN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_PIST_MO_LC_REFL,AK,Adirondacks,New York,AK01,PIST,M,O,MO,LC,REFL,AK01_PIST_MO,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_PIST_TN_LC_REFL,AK,Adirondacks,New York,AK01,PIST,T,N,TN,LC,REFL,AK01_PIST_TN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_PIST_TO_LC_REFL,AK,Adirondacks,New York,AK01,PIST,T,O,TO,LC,REFL,AK01_PIST_TO,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_POGR_B_LC_REFL,AK,Adirondacks,New York,AK01,POGR,B,NA,B,LC,REFL,AK01_POGR_B,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_POGR_T_LC_REFL,AK,Adirondacks,New York,AK01,POGR,T,NA,T,LC,REFL,AK01_POGR_T,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_QURU_B_LC_REFL,AK,Adirondacks,New York,AK01,QURU,B,NA,B,LC,REFL,AK01_QURU_B,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_QURU_M_LC_REFL,AK,Adirondacks,New York,AK01,QURU,M,NA,M,LC,REFL,AK01_QURU_M,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK01_QURU_T_LC_REFL,AK,Adirondacks,New York,AK01,QURU,T,NA,T,LC,REFL,AK01_QURU_T,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK02_ABBA_B2_LC_REFL,AK,Adirondacks,New York,AK02,ABBA,B,2,B2,LC,REFL,AK02_ABBA_B2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK02_ABBA_B3_LC_REFL,AK,Adirondacks,New York,AK02,ABBA,B,3,B3,LC,REFL,AK02_ABBA_B3,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK02_ABBA_BN_LC_REFL,AK,Adirondacks,New York,AK02,ABBA,B,N,BN,LC,REFL,AK02_ABBA_BN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK02_ABBA_M3_LC_REFL,AK,Adirondacks,New York,AK02,ABBA,M,3,M3,LC,REFL,AK02_ABBA_M3,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK02_ABBA_MN_LC_REFL,AK,Adirondacks,New York,AK02,ABBA,M,N,MN,LC,REFL,AK02_ABBA_MN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK02_ABBA_T2_LC_REFL,AK,Adirondacks,New York,AK02,ABBA,T,2,T2,LC,REFL,AK02_ABBA_T2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK02_ABBA_T3_LC_REFL,AK,Adirondacks,New York,AK02,ABBA,T,3,T3,LC,REFL,AK02_ABBA_T3,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK02_ABBA_TN_LC_REFL,AK,Adirondacks,New York,AK02,ABBA,T,N,TN,LC,REFL,AK02_ABBA_TN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK02_ACRU_M_LC_REFL,AK,Adirondacks,New York,AK02,ACRU,M,NA,M,LC,REFL,AK02_ACRU_M,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK02_ACRU_T_LC_REFL,AK,Adirondacks,New York,AK02,ACRU,T,NA,T,LC,REFL,AK02_ACRU_T,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK02_PIRU_T2_LC_REFL,AK,Adirondacks,New York,AK02,PIRU,T,2,T2,LC,REFL,AK02_PIRU_T2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK02_PIRU_T3_LC_REFL,AK,Adirondacks,New York,AK02,PIRU,T,3,T3,LC,REFL,AK02_PIRU_T3,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK02_PIRU_TN_LC_REFL,AK,Adirondacks,New York,AK02,PIRU,T,N,TN,LC,REFL,AK02_PIRU_TN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK02_TSCA_B2_LC_REFL,AK,Adirondacks,New York,AK02,TSCA,B,2,B2,LC,REFL,AK02_TSCA_B2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK02_TSCA_B3_LC_REFL,AK,Adirondacks,New York,AK02,TSCA,B,3,B3,LC,REFL,AK02_TSCA_B3,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK02_TSCA_BN_LC_REFL,AK,Adirondacks,New York,AK02,TSCA,B,N,BN,LC,REFL,AK02_TSCA_BN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK06_ABBA_B2_LC_REFL,AK,Adirondacks,New York,AK06,ABBA,B,2,B2,LC,REFL,AK06_ABBA_B2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK06_ABBA_B3_LC_REFL,AK,Adirondacks,New York,AK06,ABBA,B,3,B3,LC,REFL,AK06_ABBA_B3,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK06_ABBA_BN_LC_REFL,AK,Adirondacks,New York,AK06,ABBA,B,N,BN,LC,REFL,AK06_ABBA_BN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK06_ABBA_M2_LC_REFL,AK,Adirondacks,New York,AK06,ABBA,M,2,M2,LC,REFL,AK06_ABBA_M2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK06_PIRU_B2_LC_REFL,AK,Adirondacks,New York,AK06,PIRU,B,2,B2,LC,REFL,AK06_PIRU_B2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK06_PIRU_B3_LC_REFL,AK,Adirondacks,New York,AK06,PIRU,B,3,B3,LC,REFL,AK06_PIRU_B3,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK06_PIRU_BN_LC_REFL,AK,Adirondacks,New York,AK06,PIRU,B,N,BN,LC,REFL,AK06_PIRU_BN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK06_THOC_M2_LC_REFL,AK,Adirondacks,New York,AK06,THOC,M,2,M2,LC,REFL,AK06_THOC_M2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK06_THOC_M3_LC_REFL,AK,Adirondacks,New York,AK06,THOC,M,3,M3,LC,REFL,AK06_THOC_M3,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK06_THOC_MN_LC_REFL,AK,Adirondacks,New York,AK06,THOC,M,N,MN,LC,REFL,AK06_THOC_MN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK06_THOC_T2_LC_REFL,AK,Adirondacks,New York,AK06,THOC,T,2,T2,LC,REFL,AK06_THOC_T2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK06_THOC_TN_LC_REFL,AK,Adirondacks,New York,AK06,THOC,T,N,TN,LC,REFL,AK06_THOC_TN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK12_BEAL_M_LC_REFL,AK,Adirondacks,New York,AK12,BEAL,M,NA,M,LC,REFL,AK12_BEAL_M,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK12_BEAL_T_LC_REFL,AK,Adirondacks,New York,AK12,BEAL,T,NA,T,LC,REFL,AK12_BEAL_T,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK12_TSCA_B2_LC_REFL,AK,Adirondacks,New York,AK12,TSCA,B,2,B2,LC,REFL,AK12_TSCA_B2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK12_TSCA_B3_LC_REFL,AK,Adirondacks,New York,AK12,TSCA,B,3,B3,LC,REFL,AK12_TSCA_B3,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK12_TSCA_BN_LC_REFL,AK,Adirondacks,New York,AK12,TSCA,B,N,BN,LC,REFL,AK12_TSCA_BN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK12_TSCA_M2_LC_REFL,AK,Adirondacks,New York,AK12,TSCA,M,2,M2,LC,REFL,AK12_TSCA_M2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK12_TSCA_M3_LC_REFL,AK,Adirondacks,New York,AK12,TSCA,M,3,M3,LC,REFL,AK12_TSCA_M3,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK12_TSCA_MN_LC_REFL,AK,Adirondacks,New York,AK12,TSCA,M,N,MN,LC,REFL,AK12_TSCA_MN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK12_TSCA_T2_LC_REFL,AK,Adirondacks,New York,AK12,TSCA,T,2,T2,LC,REFL,AK12_TSCA_T2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK12_TSCA_T3_LC_REFL,AK,Adirondacks,New York,AK12,TSCA,T,3,T3,LC,REFL,AK12_TSCA_T3,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK12_TSCA_TN_LC_REFL,AK,Adirondacks,New York,AK12,TSCA,T,N,TN,LC,REFL,AK12_TSCA_TN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK17_ACRU_T_LC_REFL,AK,Adirondacks,New York,AK17,ACRU,T,NA,T,LC,REFL,AK17_ACRU_T,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK17_BEAL_M_LC_REFL,AK,Adirondacks,New York,AK17,BEAL,M,NA,M,LC,REFL,AK17_BEAL_M,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK17_BEAL_T_LC_REFL,AK,Adirondacks,New York,AK17,BEAL,T,NA,T,LC,REFL,AK17_BEAL_T,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK17_FAGR_B_LC_REFL,AK,Adirondacks,New York,AK17,FAGR,B,NA,B,LC,REFL,AK17_FAGR_B,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK17_PIRU_B2_LC_REFL,AK,Adirondacks,New York,AK17,PIRU,B,2,B2,LC,REFL,AK17_PIRU_B2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK17_PIRU_B3_LC_REFL,AK,Adirondacks,New York,AK17,PIRU,B,3,B3,LC,REFL,AK17_PIRU_B3,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK17_PIRU_BN_LC_REFL,AK,Adirondacks,New York,AK17,PIRU,B,N,BN,LC,REFL,AK17_PIRU_BN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK17_PIRU_M2_LC_REFL,AK,Adirondacks,New York,AK17,PIRU,M,2,M2,LC,REFL,AK17_PIRU_M2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK17_PIRU_M3_LC_REFL,AK,Adirondacks,New York,AK17,PIRU,M,3,M3,LC,REFL,AK17_PIRU_M3,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK17_PIRU_MN_LC_REFL,AK,Adirondacks,New York,AK17,PIRU,M,N,MN,LC,REFL,AK17_PIRU_MN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK17_PIRU_T2_LC_REFL,AK,Adirondacks,New York,AK17,PIRU,T,2,T2,LC,REFL,AK17_PIRU_T2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK17_PIRU_T3_LC_REFL,AK,Adirondacks,New York,AK17,PIRU,T,3,T3,LC,REFL,AK17_PIRU_T3,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK17_PIRU_TN_LC_REFL,AK,Adirondacks,New York,AK17,PIRU,T,N,TN,LC,REFL,AK17_PIRU_TN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK17_TSCA_M2_LC_REFL,AK,Adirondacks,New York,AK17,TSCA,M,2,M2,LC,REFL,AK17_TSCA_M2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK17_TSCA_M3_LC_REFL,AK,Adirondacks,New York,AK17,TSCA,M,3,M3,LC,REFL,AK17_TSCA_M3,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK17_TSCA_MN_LC_REFL,AK,Adirondacks,New York,AK17,TSCA,M,N,MN,LC,REFL,AK17_TSCA_MN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK17_TSCA_T2_LC_REFL,AK,Adirondacks,New York,AK17,TSCA,T,2,T2,LC,REFL,AK17_TSCA_T2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK17_TSCA_T3_LC_REFL,AK,Adirondacks,New York,AK17,TSCA,T,3,T3,LC,REFL,AK17_TSCA_T3,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK17_TSCA_TN_LC_REFL,AK,Adirondacks,New York,AK17,TSCA,T,N,TN,LC,REFL,AK17_TSCA_TN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK18_ABBA_T2_LC_REFL,AK,Adirondacks,New York,AK18,ABBA,T,2,T2,LC,REFL,AK18_ABBA_T2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK18_ABBA_T3_LC_REFL,AK,Adirondacks,New York,AK18,ABBA,T,3,T3,LC,REFL,AK18_ABBA_T3,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK18_ABBA_TN_LC_REFL,AK,Adirondacks,New York,AK18,ABBA,T,N,TN,LC,REFL,AK18_ABBA_TN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK18_BEAL_T_LC_REFL,AK,Adirondacks,New York,AK18,BEAL,T,NA,T,LC,REFL,AK18_BEAL_T,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK18_PIRU_M2_LC_REFL,AK,Adirondacks,New York,AK18,PIRU,M,2,M2,LC,REFL,AK18_PIRU_M2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK18_PIRU_M3_LC_REFL,AK,Adirondacks,New York,AK18,PIRU,M,3,M3,LC,REFL,AK18_PIRU_M3,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK18_PIRU_MN_LC_REFL,AK,Adirondacks,New York,AK18,PIRU,M,N,MN,LC,REFL,AK18_PIRU_MN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK18_PIRU_T2_LC_REFL,AK,Adirondacks,New York,AK18,PIRU,T,2,T2,LC,REFL,AK18_PIRU_T2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK18_PIRU_T3_LC_REFL,AK,Adirondacks,New York,AK18,PIRU,T,3,T3,LC,REFL,AK18_PIRU_T3,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK18_TSCA_T2_LC_REFL,AK,Adirondacks,New York,AK18,TSCA,T,2,T2,LC,REFL,AK18_TSCA_T2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK18_TSCA_T3_LC_REFL,AK,Adirondacks,New York,AK18,TSCA,T,3,T3,LC,REFL,AK18_TSCA_T3,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK18_TSCA_TN_LC_REFL,AK,Adirondacks,New York,AK18,TSCA,T,N,TN,LC,REFL,AK18_TSCA_TN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK20_ABBA_B2_LC_REFL,AK,Adirondacks,New York,AK20,ABBA,B,2,B2,LC,REFL,AK20_ABBA_B2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK20_ABBA_B3_LC_REFL,AK,Adirondacks,New York,AK20,ABBA,B,3,B3,LC,REFL,AK20_ABBA_B3,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK20_ABBA_BN_LC_REFL,AK,Adirondacks,New York,AK20,ABBA,B,N,BN,LC,REFL,AK20_ABBA_BN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK20_ABBA_M2_LC_REFL,AK,Adirondacks,New York,AK20,ABBA,M,2,M2,LC,REFL,AK20_ABBA_M2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK20_ABBA_M3_LC_REFL,AK,Adirondacks,New York,AK20,ABBA,M,3,M3,LC,REFL,AK20_ABBA_M3,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK20_ABBA_MN_LC_REFL,AK,Adirondacks,New York,AK20,ABBA,M,N,MN,LC,REFL,AK20_ABBA_MN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK20_ABBA_T2_LC_REFL,AK,Adirondacks,New York,AK20,ABBA,T,2,T2,LC,REFL,AK20_ABBA_T2,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK20_ABBA_T3_LC_REFL,AK,Adirondacks,New York,AK20,ABBA,T,3,T3,LC,REFL,AK20_ABBA_T3,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
AK20_ABBA_TN_LC_REFL,AK,Adirondacks,New York,AK20,ABBA,T,N,TN,LC,REFL,AK20_ABBA_TN,2009,Vegetation,ASD FieldSpec 3,Spectralon Ratio,Nanometers,Percent,NASA Forest Functional Types,Philip A. Townsend,FERST - University of Wisconsin Madison
